AARS1	hsa:16	alanyl-tRNA synthetase 1
PIGQ	hsa:9091	phosphatidylinositol glycan anchor biosynthesis class Q
PIGS	hsa:94005	phosphatidylinositol glycan anchor biosynthesis class S
PIGT	hsa:51604	phosphatidylinositol glycan anchor biosynthesis class T
PIGU	hsa:128869	phosphatidylinositol glycan anchor biosynthesis class U
PIGV	hsa:55650	phosphatidylinositol glycan anchor biosynthesis class V
PIGW	hsa:284098	phosphatidylinositol glycan anchor biosynthesis class W
PIGY	hsa:84992	phosphatidylinositol glycan anchor biosynthesis class Y
PIK3CA	hsa:5290	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
PIK3CD	hsa:5293	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
PIK3CG	hsa:5294	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
PIK3R1	hsa:5295	phosphoinositide-3-kinase regulatory subunit 1
PIK3R2	hsa:5296	phosphoinositide-3-kinase regulatory subunit 2
PISD	hsa:23761	phosphatidylserine decarboxylase
PITX1	hsa:5307	paired like homeodomain 1
PJA1	hsa:64219	praja ring finger ubiquitin ligase 1
PKN2	hsa:5586	protein kinase N2
PKNOX1	hsa:5316	PBX/knotted 1 homeobox 1
PLA2G6	hsa:8398	phospholipase A2 group VI
PLAA	hsa:9373	phospholipase A2 activating protein
PLAG1	hsa:5324	PLAG1 zinc finger
PLAUR	hsa:5329	plasminogen activator, urokinase receptor
PLCB1	hsa:23236	phospholipase C beta 1
PLCD4	hsa:84812	phospholipase C delta 4
PLCG2	hsa:5336	phospholipase C gamma 2
PLEC	hsa:5339	plectin
PLEKHG2	hsa:64857	pleckstrin homology and RhoGEF domain containing G2
PLK4	hsa:10733	polo like kinase 4
PLK5	hsa:126520	polo like kinase 5 (inactive)
PLN	hsa:5350	phospholamban
PLP1	hsa:5354	proteolipid protein 1
PLXNA1	hsa:5361	plexin A1
PLXNA3	hsa:55558	plexin A3
PLXNA4	hsa:91584	plexin A4
PLXNB1	hsa:5364	plexin B1
PMM2	hsa:5373	phosphomannomutase 2
PMPCA	hsa:23203	peptidase, mitochondrial processing subunit alpha
PMPCB	hsa:9512	peptidase, mitochondrial processing subunit beta
PNISR	hsa:25957	PNN interacting serine and arginine rich protein
PNKP	hsa:11284	polynucleotide kinase 3'-phosphatase
PNP	hsa:4860	purine nucleoside phosphorylase
PNPLA6	hsa:10908	patatin like phospholipase domain containing 6
PNPLA7	hsa:375775	patatin like phospholipase domain containing 7
PNPO	hsa:55163	pyridoxamine 5'-phosphate oxidase
PNPT1	hsa:87178	polyribonucleotide nucleotidyltransferase 1
POC1A	hsa:25886	POC1 centriolar protein A
POGZ	hsa:23126	pogo transposable element derived with ZNF domain
POLA1	hsa:5422	DNA polymerase alpha 1, catalytic subunit
POLA2	hsa:23649	DNA polymerase alpha 2, accessory subunit
POLG	hsa:5428	DNA polymerase gamma, catalytic subunit
POLR1A	hsa:25885	RNA polymerase I subunit A
POLR1C	hsa:9533	RNA polymerase I and III subunit C
POLR2A	hsa:5430	RNA polymerase II subunit A
POLR3A	hsa:11128	RNA polymerase III subunit A
POLR3B	hsa:55703	RNA polymerase III subunit B
POMGNT1	hsa:55624	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
POMGNT2	hsa:84892	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
POMK	hsa:84197	protein O-mannose kinase
POMT1	hsa:10585	protein O-mannosyltransferase 1
POMT2	hsa:29954	protein O-mannosyltransferase 2
PON1	hsa:5444	paraoxonase 1
PORCN	hsa:64840	porcupine O-acyltransferase
POT1	hsa:25913	protection of telomeres 1
POTEH	hsa:23784	POTE ankyrin domain family member H
POU3F3	hsa:5455	POU class 3 homeobox 3
PPM1B	hsa:5495	protein phosphatase, Mg2+/Mn2+ dependent 1B
PPM1D	hsa:8493	protein phosphatase, Mg2+/Mn2+ dependent 1D
PPP1CB	hsa:5500	protein phosphatase 1 catalytic subunit beta
PPP1R12A	hsa:4659	protein phosphatase 1 regulatory subunit 12A
PPP1R15B	hsa:84919	protein phosphatase 1 regulatory subunit 15B
PPP1R1B	hsa:84152	protein phosphatase 1 regulatory inhibitor subunit 1B
PPP1R21	hsa:129285	protein phosphatase 1 regulatory subunit 21
PPP1R9B	hsa:84687	protein phosphatase 1 regulatory subunit 9B
PPP2CA	hsa:5515	protein phosphatase 2 catalytic subunit alpha
PPP2R1A	hsa:5518	protein phosphatase 2 scaffold subunit Aalpha
PPP2R1B	hsa:5519	protein phosphatase 2 scaffold subunit Abeta
PPP2R5D	hsa:5528	protein phosphatase 2 regulatory subunit B'delta
PPP3CA	hsa:5530	protein phosphatase 3 catalytic subunit alpha
PPP3CB	hsa:5532	protein phosphatase 3 catalytic subunit beta
PPP4R1	hsa:9989	protein phosphatase 4 regulatory subunit 1
PPP5C	hsa:5536	protein phosphatase 5 catalytic subunit
PPT1	hsa:5538	palmitoyl-protein thioesterase 1
PQBP1	hsa:10084	polyglutamine binding protein 1
PREPL	hsa:9581	prolyl endopeptidase like
PREX1	hsa:57580	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
PRICKLE1	hsa:144165	prickle planar cell polarity protein 1
PRICKLE2	hsa:166336	prickle planar cell polarity protein 2
PRKACB	hsa:5567	protein kinase cAMP-activated catalytic subunit beta
PRKAG2	hsa:51422	protein kinase AMP-activated non-catalytic subunit gamma 2
PRKAR1B	hsa:5575	protein kinase cAMP-dependent type I regulatory subunit beta
PRKCA	hsa:5578	protein kinase C alpha
PRKCB	hsa:5579	protein kinase C beta
PRKCG	hsa:5582	protein kinase C gamma
PRKD1	hsa:5587	protein kinase D1
PRKD2	hsa:25865	protein kinase D2
PRKD3	hsa:23683	protein kinase D3
PRKDC	hsa:5591	protein kinase, DNA-activated, catalytic subunit
PRKN	hsa:5071	parkin RBR E3 ubiquitin protein ligase
PRKRA	hsa:8575	protein activator of interferon induced protein kinase EIF2AK2
PRMT5	hsa:10419	protein arginine methyltransferase 5
PRMT7	hsa:54496	protein arginine methyltransferase 7
PRODH	hsa:5625	proline dehydrogenase 1
PRPF18	hsa:8559	pre-mRNA processing factor 18
PRPF39	hsa:55015	pre-mRNA processing factor 39
PRPS1	hsa:5631	phosphoribosyl pyrophosphate synthetase 1
PRRT2	hsa:112476	proline rich transmembrane protein 2
PRSS12	hsa:8492	serine protease 12
PRUNE1	hsa:58497	prune exopolyphosphatase 1
PSAP	hsa:5660	prosaposin
PSD3	hsa:23362	pleckstrin and Sec7 domain containing 3
PSMD12	hsa:5718	proteasome 26S subunit, non-ATPase 12
PSME4	hsa:23198	proteasome activator subunit 4
PSMG4	hsa:389362	proteasome assembly chaperone 4
PSPH	hsa:5723	phosphoserine phosphatase
PTBP2	hsa:58155	polypyrimidine tract binding protein 2
PTCH1	hsa:5727	patched 1
PTCHD1	hsa:139411	patched domain containing 1
PTDSS1	hsa:9791	phosphatidylserine synthase 1
PTEN	hsa:5728	phosphatase and tensin homolog
PTF1A	hsa:256297	pancreas associated transcription factor 1a
PTGS2	hsa:5743	prostaglandin-endoperoxide synthase 2
PTK7	hsa:5754	protein tyrosine kinase 7 (inactive)
PTPN11	hsa:5781	protein tyrosine phosphatase non-receptor type 11
PTPRB	hsa:5787	protein tyrosine phosphatase receptor type B
PTPRC	hsa:5788	protein tyrosine phosphatase receptor type C
PTPRT	hsa:11122	protein tyrosine phosphatase receptor type T
PTRH2	hsa:51651	peptidyl-tRNA hydrolase 2
PTS	hsa:5805	6-pyruvoyltetrahydropterin synthase
PUF60	hsa:22827	poly(U) binding splicing factor 60
PUM1	hsa:9698	pumilio RNA binding family member 1
PURA	hsa:5813	purine rich element binding protein A
PUS1	hsa:80324	pseudouridine synthase 1
PUS3	hsa:83480	pseudouridine synthase 3
PUS7	hsa:54517	pseudouridine synthase 7
PYCR1	hsa:5831	pyrroline-5-carboxylate reductase 1
PYCR2	hsa:29920	pyrroline-5-carboxylate reductase 2
QARS1	hsa:5859	glutaminyl-tRNA synthetase 1
QDPR	hsa:5860	quinoid dihydropteridine reductase
RAB11A	hsa:8766	RAB11A, member RAS oncogene family
RAB11B	hsa:9230	RAB11B, member RAS oncogene family
RAB11FIP5	hsa:26056	RAB11 family interacting protein 5
RAB18	hsa:22931	RAB18, member RAS oncogene family
RAB27A	hsa:5873	RAB27A, member RAS oncogene family
RAB2A	hsa:5862	RAB2A, member RAS oncogene family
RAB39B	hsa:116442	RAB39B, member RAS oncogene family
RAB3GAP1	hsa:22930	RAB3 GTPase activating protein catalytic subunit 1
RAB3GAP2	hsa:25782	RAB3 GTPase activating non-catalytic protein subunit 2
RAB43	hsa:339122	RAB43, member RAS oncogene family
RAC1	hsa:5879	Rac family small GTPase 1
RAC3	hsa:5881	Rac family small GTPase 3
RAD21	hsa:5885	RAD21 cohesin complex component
RAD54L2	hsa:23132	RAD54 like 2
RAE1	hsa:8480	ribonucleic acid export 1
RAF1	hsa:5894	Raf-1 proto-oncogene, serine/threonine kinase
RAI1	hsa:10743	retinoic acid induced 1
RALA	hsa:5898	RAS like proto-oncogene A
RALGPS1	hsa:9649	Ral GEF with PH domain and SH3 binding motif 1
RANBP17	hsa:64901	RAN binding protein 17
RANBP3	hsa:8498	RAN binding protein 3
RAPGEF4	hsa:11069	Rap guanine nucleotide exchange factor 4
RAPSN	hsa:5913	receptor associated protein of the synapse
RARB	hsa:5915	retinoic acid receptor beta
RARS1	hsa:5917	arginyl-tRNA synthetase 1
RARS2	hsa:57038	arginyl-tRNA synthetase 2, mitochondrial
RASSF5	hsa:83593	Ras association domain family member 5
RAX	hsa:30062	retina and anterior neural fold homeobox
RBBP8	hsa:5932	RB binding protein 8, endonuclease
RBFOX1	hsa:54715	RNA binding fox-1 homolog 1
RBL2	hsa:5934	RB transcriptional corepressor like 2
RBM10	hsa:8241	RNA binding motif protein 10
RBM15B	hsa:29890	RNA binding motif protein 15B
RBM17	hsa:84991	RNA binding motif protein 17
RBM27	hsa:54439	RNA binding motif protein 27
RBM28	hsa:55131	RNA binding motif protein 28
RBMS1	hsa:5937	RNA binding motif single stranded interacting protein 1
RBPJ	hsa:3516	recombination signal binding protein for immunoglobulin kappa J region
RELN	hsa:5649	reelin
RERE	hsa:473	arginine-glutamic acid dipeptide repeats
REST	hsa:5978	RE1 silencing transcription factor
RFT1	hsa:91869	RFT1 homolog
RFX3	hsa:5991	regulatory factor X3
RFX4	hsa:5992	regulatory factor X4
RGPD4	hsa:285190	RANBP2 like and GRIP domain containing 4
RHEB	hsa:6009	Ras homolog, mTORC1 binding
RHOBTB2	hsa:23221	Rho related BTB domain containing 2
RHOXF1	hsa:158800	Rhox homeobox family member 1
RIC1	hsa:57589	RIC1 homolog, RAB6A GEF complex partner 1
RIF1	hsa:55183	replication timing regulatory factor 1
RIMS1	hsa:22999	regulating synaptic membrane exocytosis 1
RIMS2	hsa:9699	regulating synaptic membrane exocytosis 2
RIMS3	hsa:9783	regulating synaptic membrane exocytosis 3
RIN3	hsa:79890	Ras and Rab interactor 3
RIT1	hsa:6016	Ras like without CAAX 1
RIT2	hsa:6014	Ras like without CAAX 2
RLIM	hsa:51132	ring finger protein, LIM domain interacting
RMND1	hsa:55005	required for meiotic nuclear division 1 homolog
RNASEH2A	hsa:10535	ribonuclease H2 subunit A
RNASEH2B	hsa:79621	ribonuclease H2 subunit B
RNASEH2C	hsa:84153	ribonuclease H2 subunit C
RNASET2	hsa:8635	ribonuclease T2
RNF113A	hsa:7737	ring finger protein 113A
RNF125	hsa:54941	ring finger protein 125
RNF13	hsa:11342	ring finger protein 13
RNF135	hsa:84282	ring finger protein 135
RNF213	hsa:57674	ring finger protein 213
RNF25	hsa:64320	ring finger protein 25
RNF38	hsa:152006	ring finger protein 38
ROBO2	hsa:6092	roundabout guidance receptor 2
ROR2	hsa:4920	receptor tyrosine kinase like orphan receptor 2
RORA	hsa:6095	RAR related orphan receptor A
RORB	hsa:6096	RAR related orphan receptor B
RPE65	hsa:6121	retinoid isomerohydrolase RPE65
RPGRIP1L	hsa:23322	RPGRIP1 like
RPL10	hsa:6134	ribosomal protein L10
RPL26	hsa:6154	ribosomal protein L26
RPL4	hsa:6124	ribosomal protein L4
RPS26	hsa:6231	ribosomal protein S26
RPS6KA2	hsa:6196	ribosomal protein S6 kinase A2
RPS6KA3	hsa:6197	ribosomal protein S6 kinase A3
RRAS2	hsa:22800	RAS related 2
RRM1	hsa:6240	ribonucleotide reductase catalytic subunit M1
RRM2B	hsa:50484	ribonucleotide reductase regulatory TP53 inducible subunit M2B
RRP8	hsa:23378	ribosomal RNA processing 8
RSF1	hsa:51773	remodeling and spacing factor 1
RSPRY1	hsa:89970	ring finger and SPRY domain containing 1
RSRC1	hsa:51319	arginine and serine rich coiled-coil 1
RTEL1	hsa:51750	regulator of telomere elongation helicase 1
RTF1	hsa:23168	RTF1 homolog, Paf1/RNA polymerase II complex component
RTN2	hsa:6253	reticulon 2
RTN4IP1	hsa:84816	reticulon 4 interacting protein 1
RTTN	hsa:25914	rotatin
RUSC2	hsa:9853	RUN and SH3 domain containing 2
RXYLT1	hsa:10329	ribitol xylosyltransferase 1
RYR2	hsa:6262	ryanodine receptor 2
SAE1	hsa:10055	SUMO1 activating enzyme subunit 1
SALL1	hsa:6299	spalt like transcription factor 1
SAMD9	hsa:54809	sterile alpha motif domain containing 9
SAMHD1	hsa:25939	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
SASH1	hsa:23328	SAM and SH3 domain containing 1
SASS6	hsa:163786	SAS-6 centriolar assembly protein
SATB1	hsa:6304	SATB homeobox 1
SATB2	hsa:23314	SATB homeobox 2
SBDS	hsa:51119	SBDS ribosome maturation factor
SBF1	hsa:6305	SET binding factor 1
SC5D	hsa:6309	sterol-C5-desaturase
SCAF4	hsa:57466	SR-related CTD associated factor 4
SCAPER	hsa:49855	S-phase cyclin A associated protein in the ER
SCN10A	hsa:6336	sodium voltage-gated channel alpha subunit 10
SCN1A	hsa:6323	sodium voltage-gated channel alpha subunit 1
SCN1B	hsa:6324	sodium voltage-gated channel beta subunit 1
SCN2A	hsa:6326	sodium voltage-gated channel alpha subunit 2
SCN3A	hsa:6328	sodium voltage-gated channel alpha subunit 3
SCN4A	hsa:6329	sodium voltage-gated channel alpha subunit 4
SCN9A	hsa:6335	sodium voltage-gated channel alpha subunit 9
SCO1	hsa:6341	synthesis of cytochrome C oxidase 1
SCO2	hsa:9997	synthesis of cytochrome C oxidase 2
SCP2	hsa:6342	sterol carrier protein 2
SCYL1	hsa:57410	SCY1 like pseudokinase 1
SCYL2	hsa:55681	SCY1 like pseudokinase 2
SDC2	hsa:6383	syndecan 2
SDCCAG8	hsa:10806	SHH signaling and ciliogenesis regulator SDCCAG8
SDHA	hsa:6389	succinate dehydrogenase complex flavoprotein subunit A
SDHAF1	hsa:644096	succinate dehydrogenase complex assembly factor 1
SDK1	hsa:221935	sidekick cell adhesion molecule 1
SEMA4C	hsa:54910	semaphorin 4C
SEMA5A	hsa:9037	semaphorin 5A
SEMA6B	hsa:10501	semaphorin 6B
SENP5	hsa:205564	SUMO specific peptidase 5
SENP6	hsa:26054	SUMO specific peptidase 6
SEPSECS	hsa:51091	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
SERAC1	hsa:84947	serine active site containing 1
SERPINE1	hsa:5054	serpin family E member 1
SET	hsa:6418	SET nuclear proto-oncogene
SETBP1	hsa:26040	SET binding protein 1
SETD1A	hsa:9739	SET domain containing 1A, histone lysine methyltransferase
SETD1B	hsa:23067	SET domain containing 1B, histone lysine methyltransferase
SETD2	hsa:29072	SET domain containing 2, histone lysine methyltransferase
SETD5	hsa:55209	SET domain containing 5
SETDB1	hsa:9869	SET domain bifurcated histone lysine methyltransferase 1
SETDB2	hsa:83852	SET domain bifurcated histone lysine methyltransferase 2
SEZ6L2	hsa:26470	seizure related 6 homolog like 2
SF3B1	hsa:23451	splicing factor 3b subunit 1
SF3B3	hsa:23450	splicing factor 3b subunit 3
SFXN4	hsa:119559	sideroflexin 4
SGPL1	hsa:8879	sphingosine-1-phosphate lyase 1
SGSH	hsa:6448	N-sulfoglucosamine sulfohydrolase
SGSM3	hsa:27352	small G protein signaling modulator 3
SH3GLB1	hsa:51100	SH3 domain containing GRB2 like, endophilin B1
SH3RF3	hsa:344558	SH3 domain containing ring finger 3
SHANK1	hsa:50944	SH3 and multiple ankyrin repeat domains 1
SHANK2	hsa:22941	SH3 and multiple ankyrin repeat domains 2
SHANK3	hsa:85358	SH3 and multiple ankyrin repeat domains 3
SHH	hsa:6469	sonic hedgehog signaling molecule
SHOC2	hsa:8036	SHOC2 leucine rich repeat scaffold protein
SHOX	hsa:6473	short stature homeobox
SHROOM4	hsa:57477	shroom family member 4
SIAH1	hsa:6477	siah E3 ubiquitin protein ligase 1
SIK1	hsa:150094	salt inducible kinase 1
SIL1	hsa:64374	SIL1 nucleotide exchange factor
SIM1	hsa:6492	SIM bHLH transcription factor 1
SIN3A	hsa:25942	SIN3 transcription regulator family member A
SIN3B	hsa:23309	SIN3 transcription regulator family member B
SIPA1L1	hsa:26037	signal induced proliferation associated 1 like 1
SIX3	hsa:6496	SIX homeobox 3
SLC12A2	hsa:6558	solute carrier family 12 member 2
SLC12A5	hsa:57468	solute carrier family 12 member 5
SLC12A6	hsa:9990	solute carrier family 12 member 6
SLC13A5	hsa:284111	solute carrier family 13 member 5
SLC16A2	hsa:6567	solute carrier family 16 member 2
SLC17A5	hsa:26503	solute carrier family 17 member 5
SLC18A2	hsa:6571	solute carrier family 18 member A2
SLC18A3	hsa:6572	solute carrier family 18 member A3
SLC19A3	hsa:80704	solute carrier family 19 member 3
SLC1A1	hsa:6505	solute carrier family 1 member 1
SLC1A2	hsa:6506	solute carrier family 1 member 2
SLC1A4	hsa:6509	solute carrier family 1 member 4
SLC22A15	hsa:55356	solute carrier family 22 member 15
SLC22A5	hsa:6584	solute carrier family 22 member 5
SLC22A9	hsa:114571	solute carrier family 22 member 9
SLC24A2	hsa:25769	solute carrier family 24 member 2
SLC25A1	hsa:6576	solute carrier family 25 member 1
SLC25A12	hsa:8604	solute carrier family 25 member 12
SLC25A15	hsa:10166	solute carrier family 25 member 15
SLC25A20	hsa:788	solute carrier family 25 member 20
SLC25A22	hsa:79751	solute carrier family 25 member 22
SLC25A26	hsa:115286	solute carrier family 25 member 26
SLC25A27	hsa:9481	solute carrier family 25 member 27
SLC25A39	hsa:51629	solute carrier family 25 member 39
SLC25A42	hsa:284439	solute carrier family 25 member 42
SLC27A4	hsa:10999	solute carrier family 27 member 4
SLC29A4	hsa:222962	solute carrier family 29 member 4
SLC2A1	hsa:6513	solute carrier family 2 member 1
SLC33A1	hsa:9197	solute carrier family 33 member 1
SLC35A2	hsa:7355	solute carrier family 35 member A2
SLC35A3	hsa:23443	solute carrier family 35 member A3
SLC35B1	hsa:10237	solute carrier family 35 member B1
SLC35C1	hsa:55343	solute carrier family 35 member C1
SLC38A10	hsa:124565	solute carrier family 38 member 10
SLC39A8	hsa:64116	solute carrier family 39 member 8
SLC40A1	hsa:30061	solute carrier family 40 member 1
SLC44A1	hsa:23446	solute carrier family 44 member 1
SLC45A1	hsa:50651	solute carrier family 45 member 1
SLC46A1	hsa:113235	solute carrier family 46 member 1
SLC4A10	hsa:57282	solute carrier family 4 member 10
SLC4A4	hsa:8671	solute carrier family 4 member 4
SLC52A2	hsa:79581	solute carrier family 52 member 2
SLC52A3	hsa:113278	solute carrier family 52 member 3
SLC5A7	hsa:60482	solute carrier family 5 member 7
SLC6A1	hsa:6529	solute carrier family 6 member 1
SLC6A17	hsa:388662	solute carrier family 6 member 17
SLC6A19	hsa:340024	solute carrier family 6 member 19
SLC6A3	hsa:6531	solute carrier family 6 member 3
SLC6A4	hsa:6532	solute carrier family 6 member 4
SLC6A5	hsa:9152	solute carrier family 6 member 5
SLC6A8	hsa:6535	solute carrier family 6 member 8
SLC6A9	hsa:6536	solute carrier family 6 member 9
SLC7A3	hsa:84889	solute carrier family 7 member 3
SLC7A5	hsa:8140	solute carrier family 7 member 5
SLC7A7	hsa:9056	solute carrier family 7 member 7
SLC7A8	hsa:23428	solute carrier family 7 member 8
SLC8A1	hsa:6546	solute carrier family 8 member A1
SLC9A3	hsa:6550	solute carrier family 9 member A3
SLC9A6	hsa:10479	solute carrier family 9 member A6
SLC9A7	hsa:84679	solute carrier family 9 member A7
SLC9A9	hsa:285195	solute carrier family 9 member A9
SLCO1B3	hsa:28234	solute carrier organic anion transporter family member 1B3
SLX4	hsa:84464	SLX4 structure-specific endonuclease subunit
SMAD4	hsa:4089	SMAD family member 4
SMAD6	hsa:4091	SMAD family member 6
SMARCA2	hsa:6595	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
SMARCA4	hsa:6597	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCAD1	hsa:56916	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
SMARCB1	hsa:6598	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
SMARCC1	hsa:6599	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
SMARCC2	hsa:6601	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
SMARCD1	hsa:6602	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
SMARCE1	hsa:6605	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
SMC1A	hsa:8243	structural maintenance of chromosomes 1A
SMC2	hsa:10592	structural maintenance of chromosomes 2
SMC3	hsa:9126	structural maintenance of chromosomes 3
SMG6	hsa:23293	SMG6 nonsense mediated mRNA decay factor
SMG9	hsa:56006	SMG9 nonsense mediated mRNA decay factor
SMO	hsa:6608	smoothened, frizzled class receptor
SMOC1	hsa:64093	SPARC related modular calcium binding 1
SMPD1	hsa:6609	sphingomyelin phosphodiesterase 1
SMPD4	hsa:55627	sphingomyelin phosphodiesterase 4
SMS	hsa:6611	spermine synthase
SMURF1	hsa:57154	SMAD specific E3 ubiquitin protein ligase 1
SNAP25	hsa:6616	synaptosome associated protein 25
SNAP29	hsa:9342	synaptosome associated protein 29
SNAPC5	hsa:10302	small nuclear RNA activating complex polypeptide 5
SND1	hsa:27044	staphylococcal nuclease and tudor domain containing 1
SNRPB	hsa:6628	small nuclear ribonucleoprotein polypeptides B and B1
SNTG2	hsa:54221	syntrophin gamma 2
SNX14	hsa:57231	sorting nexin 14
SNX27	hsa:81609	sorting nexin 27
SNX5	hsa:27131	sorting nexin 5
SOD1	hsa:6647	superoxide dismutase 1
SON	hsa:6651	SON DNA and RNA binding protein
SORBS1	hsa:10580	sorbin and SH3 domain containing 1
SOS1	hsa:6654	SOS Ras/Rac guanine nucleotide exchange factor 1
SOS2	hsa:6655	SOS Ras/Rho guanine nucleotide exchange factor 2
SOX10	hsa:6663	SRY-box transcription factor 10
SOX11	hsa:6664	SRY-box transcription factor 11
SOX2	hsa:6657	SRY-box transcription factor 2
SOX3	hsa:6658	SRY-box transcription factor 3
SOX4	hsa:6659	SRY-box transcription factor 4
SOX5	hsa:6660	SRY-box transcription factor 5
SOX6	hsa:55553	SRY-box transcription factor 6
SPART	hsa:23111	spartin
SPAST	hsa:6683	spastin
SPATA5	hsa:166378	spermatogenesis associated 5
SPECC1L	hsa:23384	sperm antigen with calponin homology and coiled-coil domains 1 like
SPEN	hsa:23013	spen family transcriptional repressor
SPG11	hsa:80208	SPG11 vesicle trafficking associated, spatacsin
SPOP	hsa:8405	speckle type BTB/POZ protein
SPR	hsa:6697	sepiapterin reductase
SPRED1	hsa:161742	sprouty related EVH1 domain containing 1
SPRY2	hsa:10253	sprouty RTK signaling antagonist 2
SPTAN1	hsa:6709	spectrin alpha, non-erythrocytic 1
SPTB	hsa:6710	spectrin beta, erythrocytic
SPTBN1	hsa:6711	spectrin beta, non-erythrocytic 1
SPTBN2	hsa:6712	spectrin beta, non-erythrocytic 2
SRCAP	hsa:10847	Snf2 related CREBBP activator protein
SRD5A3	hsa:79644	steroid 5 alpha-reductase 3
SRGAP3	hsa:9901	SLIT-ROBO Rho GTPase activating protein 3
SRP54	hsa:6729	signal recognition particle 54
SRPRA	hsa:6734	SRP receptor subunit alpha
SRPX2	hsa:27286	sushi repeat containing protein X-linked 2
SRRM2	hsa:23524	serine/arginine repetitive matrix 2
SRSF1	hsa:6426	serine and arginine rich splicing factor 1
SRSF11	hsa:9295	serine and arginine rich splicing factor 11
SSRP1	hsa:6749	structure specific recognition protein 1
ST3GAL3	hsa:6487	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
ST3GAL5	hsa:8869	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
ST8SIA2	hsa:8128	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
STAG1	hsa:10274	stromal antigen 1
STAG2	hsa:10735	stromal antigen 2
STAMBP	hsa:10617	STAM binding protein
STARD9	hsa:57519	StAR related lipid transfer domain containing 9
STIL	hsa:6491	STIL centriolar assembly protein
STIM1	hsa:6786	stromal interaction molecule 1
STK39	hsa:27347	serine/threonine kinase 39
STRA6	hsa:64220	signaling receptor and transporter of retinol STRA6
STRADA	hsa:92335	STE20 related adaptor alpha
STT3A	hsa:3703	STT3 oligosaccharyltransferase complex catalytic subunit A
STT3B	hsa:201595	STT3 oligosaccharyltransferase complex catalytic subunit B
STUB1	hsa:10273	STIP1 homology and U-box containing protein 1
STX1A	hsa:6804	syntaxin 1A
STX1B	hsa:112755	syntaxin 1B
STXBP1	hsa:6812	syntaxin binding protein 1
STXBP5	hsa:134957	syntaxin binding protein 5
STXBP5L	hsa:9515	syntaxin binding protein 5L
STYK1	hsa:55359	serine/threonine/tyrosine kinase 1
SUCLA2	hsa:8803	succinate-CoA ligase ADP-forming subunit beta
SUCLG1	hsa:8802	succinate-CoA ligase GDP/ADP-forming subunit alpha
SUFU	hsa:51684	SUFU negative regulator of hedgehog signaling
SUMF1	hsa:285362	sulfatase modifying factor 1
SUOX	hsa:6821	sulfite oxidase
SUPT16H	hsa:11198	SPT16 homolog, facilitates chromatin remodeling subunit
SURF1	hsa:6834	SURF1 cytochrome c oxidase assembly factor
SUSD4	hsa:55061	sushi domain containing 4
SUZ12	hsa:23512	SUZ12 polycomb repressive complex 2 subunit
SYCE1	hsa:93426	synaptonemal complex central element protein 1
SYN1	hsa:6853	synapsin I
SYN2	hsa:6854	synapsin II
SYNCRIP	hsa:10492	synaptotagmin binding cytoplasmic RNA interacting protein
SYNE1	hsa:23345	spectrin repeat containing nuclear envelope protein 1
SYNGAP1	hsa:8831	synaptic Ras GTPase activating protein 1
SYNJ1	hsa:8867	synaptojanin 1
SYT1	hsa:6857	synaptotagmin 1
SYT17	hsa:51760	synaptotagmin 17
SZT2	hsa:23334	SZT2 subunit of KICSTOR complex
TAB2	hsa:23118	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
TAF1	hsa:6872	TATA-box binding protein associated factor 1
TAF13	hsa:6884	TATA-box binding protein associated factor 13
TAF1C	hsa:9013	TATA-box binding protein associated factor, RNA polymerase I subunit C
TAF2	hsa:6873	TATA-box binding protein associated factor 2
TAF5	hsa:6877	TATA-box binding protein associated factor 5
TAF6	hsa:6878	TATA-box binding protein associated factor 6
TAOK1	hsa:57551	TAO kinase 1
TAOK2	hsa:9344	TAO kinase 2
TASP1	hsa:55617	taspase 1
TAT	hsa:6898	tyrosine aminotransferase
TBC1D20	hsa:128637	TBC1 domain family member 20
TBC1D23	hsa:55773	TBC1 domain family member 23
TBC1D24	hsa:57465	TBC1 domain family member 24
